title,abstract
Accelerate AI/ML Deployments with Enterprise-Grade MLOps,
Feathr: Scalable Feature Store that opens the Window to Infinite Possibilities,"In this session, we will dive deep into Feathr, taking you on a journey into this scalable open-source feature store which has now joined the Linux Foundation AI and Data ecosystem. Feathr has been battle-tested in LinkedIn powering high scale ML applications, supporting 100s of training and inferencing pipelines. This enables feature sharing among teams, leading to significant business metrics gain.

We will dive into some of the key highlights – rich UDF support, dynamic type casting, point-in-time joins, time aware sliding window aggregation, support for derived features, support for advanced ML scenarios and much more!

Feathr has a cloud-friendly scalable architecture and has been made available as an easy deployment on Azure. We will go over the key components – a central registry to store and share feature definitions, offline and online data store connectors, tight integration with Spark to run transformations and integration with various services using the Python SDK.

We will also showcase how Feathr can be used to build an end-to-end solution and go over some of the key customer patterns based on real life customer usage"
How to Model Public Opinions in the Media Age,"The truths and lies of survey data, or how to model public opinions in the media age.

“ESG is a scam. It has been weaponized by phony social justice warriors.” Elon Musk ESG tweet.May 21, 2022
Do you think Elon Musk is right? What do other people think of ESG?

In the big data era, surprisingly, surveys still play a crucial role in market research. We know that people often have self-servicing biases in surveys. So how do you overcome these self-servicing biases in market research data?

I will talk about practical methods to model survey data effectively to avoid cheaters and self-attestation tendencies to lie, using statistics, analytics, and ML/AI.

In my talk, I will explain how to treat surveys as big data and combine them with additional data sources for effective modeling. Using benchmarking techniques and novel modeling approaches, we may find the underlying gems in this somewhat old-fashioned yet still relevant information source.

We will delve into how to understand what people think, feel, and what drives consumer activities by using a combination of surveys, mainstream and social media, reviews, and other data sources, by applying statistical methods combined with NLP and deep learning. I will demonstrate these techniques with a few thought-provoking examples from the vastly emerging data on Environmental, Social, and Governance (ESG) perceptions."
Creating An Ethical AI Environment,"We are at a pivotal time in our AI development and adoption where we still have the ability to create a world where AI is a force for good, instead of world where AI is used deepen inequalities and divides. To do this, we much create an ethical AI environment to move forward. Key takeaways from this talk include:
* The current state of ethical AI
* How develop an ethical AI environment
* The future of coexisting with machines"
AI in a Minefield: Learning from Poisoned Data,"Data poisoning is one of the main threats on AI systems. When malicious actors have even limited control over the data used for training a model, they can try to fail the training process, prevent it from convergence, skewing the model or install so-called ML backdoors – areas where this model makes incorrect decisions, usually areas of interest for the attacker. This threat is especially applicable when security technologies use anomaly detection mechanisms on top of a normality model constructed from previously seen traffic data. When the traffic originates from unreliable sources, which may be partially controlled by malicious actors, the learning process needs to be designed under the assumption that data poisoning attempts are very likely to occur.

In this talk, we will present the challenges of learning from dirty data, overview data poisoning attacks on different systems like Spam detection, image classification and rating systems, discuss the problem of learning from web traffic - probably the dirtiest data in the world, and explain different approaches for learning from dirty data and poisoned data. We will focus on threshold-learning mitigation for data poisoning, aiming to reduce the impact of any single data source, and discuss a mundane but crucial aspect of threshold learning – memory complexity. We will present a robust learning scheme optimized to work efficiently on streamed data with bounded memory consumption. We will give examples from the web security arena with robust learning of URLs, parameters, character sets, cookies and more."
An Intuition-Based Approach to Reinforcement Learning,"Reinforcement learning (RL) has achieved remarkable success in various tasks, such as defeating all-human teams in MMP (massive multi-player) games, advances in robotics, and astonishing results in the protein folding problem in chemistry. Expertise in RL requires strong knowledge of machine learning, statistics, and areas of mathematics. Moreover, RL contains many concepts that seem ""fuzzy"" and hence can be challenging for beginners who are trying to learn RL. However, this session provides the intuition of various RL concepts, such as exploit/explore and maximization of expected reward, along with real-life examples of these concepts. Attendees will also see a comparison of greedy versus epsilon greedy, and why epsilon greedy can solve tasks that cannot be solved using a greedy approach. Some of the preceding concepts will be illustrated during the presentation of the n-chain task in RL, whose solution clearly requires an epsilon greedy algorithm. The target audience for this session is for beginners who have no experience with RL."
Denoising Diffusion-based Generative Modeling,"Diffusion-based generative models such as DALL·E 2 have achieved exceptional image generation quality. Unlike other generative models based on explicit representations of probability distributions (e.g., autoregressive) or implicit sampling procedures (e.g., GANs), diffusion models learn directly the vector field of gradients of the data distribution (scores). This framework allows flexible architectures, requires no sampling during training or the use of adversarial training methods. These score-based generative models enable exact likelihood evaluation, achieve state-of-the-art sample quality, and can be used to improve performance in a variety of inverse problems, including medical imaging."
Building & Selling AI Startups,Taylor will share some of the biggest regrets and lessons he has learned after a decade of building and selling AI startups. From Sequoia's HireVue to his own deep-learning startup Zeff which was acquired by DataRobot. Taylor will discuss key competencies and lessons needed when it comes to selling AI software in the market.
"Introduction to Generative Art with Stable Diffusion, presented by HP Inc","Hot on the heels of popular text-to-image Generative Art models like OpenAI's DALLE 2 and Midjourney, Stable Diffusion is an open source Latent Diffusion model that can be used to create images from just a few words. This talk will go through high level details of how the model was built and trained, and some of the precursors models that it built upon. Then it will move to some comments on the ethical implications of AI art models generally and ethical considerations for those using stable diffusion and models like it. The main portion of the talk will be covering with how to get started using Stable Diffusion. This will help those even with limited background in ML or deep learning techniques to get an understanding of practically how to work with the model. This section will also focus on tips, tricks and examples to improve your output images as well as hardware considerations when running this powerful model locally. Finally we will finish with a couple of examples of how this model can be used in a few specific workflows or applications and some examples of what future generative art models may be able to do."
"Toward Robust, Knowledge-Rich Natural Language Processing","Enormous amounts of ever-changing knowledge are available online in diverse textual styles and diverse formats. Recent advances in deep learning algorithms and large-scale datasets are spurring progress in many Natural Language Processing (NLP) tasks, including question answering. Nevertheless, these models cannot scale up when task-annotated training data are scarce. This talk presents my lab's work toward building general-purpose models in NLP and how to systematically evaluate them. I present a new meta-dataset – called super-Natural Instructions – that includes a variety of NLP tasks and their descriptions to evaluate cross-task generalization. Then, I introduce a new meta training approach that can solve more than 1600 NLP tasks only from their descriptions and a few examples."
