region,date,index
Alberta,2020-01-13,100
Alberta,2020-01-14,102.14
Alberta,2020-01-15,102.55
Alberta,2020-01-16,107.88
Alberta,2020-01-17,126.18
Alberta,2020-01-18,119.29
Alberta,2020-01-19,93.03
Alberta,2020-01-20,109.02
Alberta,2020-01-21,112.31
Alberta,2020-01-22,115.79
Alberta,2020-01-23,116.57
Alberta,2020-01-24,136.22
Alberta,2020-01-25,130.44
Alberta,2020-01-26,95.91
Alberta,2020-01-27,105.37
Alberta,2020-01-28,111.09
Alberta,2020-01-29,113.1
Alberta,2020-01-30,116.29
Alberta,2020-01-31,139.26
Alberta,2020-02-01,125.77
Alberta,2020-02-02,94.9
Alberta,2020-02-03,102.7
Alberta,2020-02-04,107.91
Alberta,2020-02-05,108.44
Alberta,2020-02-06,114.3
Alberta,2020-02-07,134.43
Alberta,2020-02-08,127.97
Alberta,2020-02-09,96.83
Alberta,2020-02-10,105.08
Alberta,2020-02-11,116.3
Alberta,2020-02-12,114.27
Alberta,2020-02-13,121.16
Alberta,2020-02-14,148.53
Alberta,2020-02-15,135.01
Alberta,2020-02-16,108.73
Alberta,2020-02-17,95.23
Alberta,2020-02-18,118.83
Alberta,2020-02-19,120.73
Alberta,2020-02-20,124.62
Alberta,2020-02-21,139.85
Alberta,2020-02-22,136.99
Alberta,2020-02-23,101.69
Alberta,2020-02-24,104.82
Alberta,2020-02-25,110.59
Alberta,2020-02-26,112
Alberta,2020-02-27,118.21
Alberta,2020-02-28,141.28
Alberta,2020-02-29,134.29
Alberta,2020-03-01,101.94
Alberta,2020-03-02,105.71
Alberta,2020-03-03,110.36
Alberta,2020-03-04,112.85
Alberta,2020-03-05,116
Alberta,2020-03-06,138.06
Alberta,2020-03-07,122.41
Alberta,2020-03-08,93.44
Alberta,2020-03-09,103.81
Alberta,2020-03-10,107.17
Alberta,2020-03-11,107.63
Alberta,2020-03-12,103.63
Alberta,2020-03-13,101.91
Alberta,2020-03-14,81.57
Alberta,2020-03-15,64.27
Alberta,2020-03-16,74.04
Alberta,2020-03-17,71.05
Alberta,2020-03-18,66.47
Alberta,2020-03-19,65.6
Alberta,2020-03-20,71.75
Alberta,2020-03-21,58.36
Alberta,2020-03-22,47.04
Alberta,2020-03-23,57.42
Alberta,2020-03-24,54.45
Alberta,2020-03-25,56.6
Alberta,2020-03-26,57.64
Alberta,2020-03-27,64.55
Alberta,2020-03-28,50.84
Alberta,2020-03-29,43.41
Alberta,2020-03-30,52.98
Alberta,2020-03-31,51.44
Alberta,2020-04-01,54.5
Alberta,2020-04-02,54.72
Alberta,2020-04-03,61.52
Alberta,2020-04-04,52.45
Alberta,2020-04-05,40.68
Alberta,2020-04-06,54.79
Alberta,2020-04-07,56.11
Alberta,2020-04-08,60.42
Alberta,2020-04-09,70.82
Alberta,2020-04-10,55.69
Alberta,2020-04-11,53.84
Alberta,2020-04-12,40.21
Alberta,2020-04-13,55.87
Alberta,2020-04-14,61.12
Alberta,2020-04-15,64.22
Alberta,2020-04-16,68.94
Alberta,2020-04-17,75.07
Alberta,2020-04-18,66.11
