DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
7687,"Fisheries Building",,"Highway 410","Baie Verte",NL,"Newfoundland and Labrador","A0K 1B0",Lease,No,"Not required"
55704,"E.K. Jerrett Building",45,"Conception Bay Highway","Bay Roberts",NL,"Newfoundland and Labrador","A0A 1G0",Lease,No,"Not required"
5183,"Community Council Building",,"Tableland Drive","Birchy Head",NL,"Newfoundland and Labrador","A0K 1K0",Lease,No,"Not required"
14321,"Sweetlands Building",232,"Confederation Drive",Bonavista,NL,"Newfoundland and Labrador","A0C 1B0",Lease,No,"Not required"
10639,"Doyle Building",,"Main Street","Brig Bay",NL,"Newfoundland and Labrador","A0K 4A0",Lease,No,"Not required"
10882,Building,1,"Main Street",Burgeo,NL,"Newfoundland and Labrador","A0N 2H0",Lease,"Work in progress","Work in progress"
25850,Building,64,Main,"Channel-Port aux Basques",NL,"Newfoundland and Labrador","A0M 1C0",Lease,"Work in progress","Work in progress"
906,"Brett Building",2,"Hopedale Avenue","Channel-Port aux Basques",NL,"Newfoundland and Labrador","A0M 1C0",Lease,No,"Not required"
7418,"Rodway Building",58,"Manitoba Drive",Clarenville,NL,"Newfoundland and Labrador","A5A 1K5",Lease,No,"Not required"
55581,"Vardy Building",,"Manitoba Drive",Clarenville,NL,"Newfoundland and Labrador","A0E 1J0",Lease,No,"Not required"
7212,"Goobie Building",8,"Myers Place",Clarenville,NL,"Newfoundland and Labrador","A0E 1J0",Lease,No,"Not required"
21889,"Morgan Building",55,"Thompson Street",Clarenville,NL,"Newfoundland and Labrador","A5A 1Y9",Lease,No,"Not required"
907,"Former Bank of Nova Scotia Building",49-53,"Conception Bay Highway","Clarke's Beach",NL,"Newfoundland and Labrador","A0A 1W0",Lease,No,"Not required"
918,FortisTowers,4,"Herald Avenue","Corner Brook",NL,"Newfoundland and Labrador","A2H 4B4",Lease,Yes,Yes
19967,"Lundrigan Building",18,"Lundrigan Drive","Corner Brook",NL,"Newfoundland and Labrador","A2H 7M3",Lease,No,"Not required"
